1/8 the amount of coffee consumed by the employees at Yelp in the time it takes to blink	one eighth the coffee consumption by the number of employees at Yelp in the time taken to blink	1/8th the coffee consumed by the entire staff of Yelp in the time it takes to blink	an eighth the volume of coffee consumed by the entire set of employees at Yelp in the time it takes to blink	1/8th the coffee consumed by all Yelp employees over a period equal to the blink of an eye	1/8th the coffee consumed by Yelp employees in the time it takes to blink	1/8 the amount of coffee drank by the entire Yelp workforce in the time it takes to blink
1/90th of the weight of garbage produced in the United States by the staff of an average grocery store in the time it takes to have a single game	1/90th of the weight of garbage produced in the United States by the staff of an average grocery store in the time it takes to play a game of soccer	1/90 the trash produced by all the employees in a grocery store during a soccer game	1/90 the trash generated by the number of employees that work for one grocery store in the time it takes to play in a soccer game	one ninetieth the amount of trash generated in the US by the average nmber of employees in a grocery store in the time taken for a soccer game	1/90 the amount trash generated by employees in a typical US grocery store during a soccer game	one ninetieth the trash generated in the US by the average number of employees in a grocery store in the time taken for a soccer game
one fifth of the cost of a laptop	1/5 the cost of a smartphone	1/5 the cost of a smartphone	1/5 of the cost of a smartphone	one fifth of the cost of buying a smartphone	1/5th the cost of a smartphone	1/5 the cost of a smartphone
10 times the amount of water that would be consumed by the number of people killed by gun violence in 2016 in the time it takes to have lunch	10 times the water usage of the number of people killed by gun violence in 2016 in a typical lunch period	10 times the amount of water usage in the US in 30 minutes by 1000 people	10 times the US water used during lunch by all the 2016 gun victims combined	the water usage by gun violence casulties during ten lunches	ten times the used in the time taken for lunch by the number of people killed by gun violence in 2016	10 times the water used by everyone killed by gun violence in 2016 over the course of a lunch period
1/70 the cost of an employee on Medicare a minute	one seventieth of the cost of the number of employees on Medicare in California for one minute	1/70 the cost of employing everyone on Medicare in California for a minute	1/70 the cost of paying for all the employees on Medicare in California per minute	1/70th the cost to employ working Californian Medicare recipients for one minute	1/70 the cost to employ everyone on Medicare in California for one minute	1/70th of the cost of employing the number of workers on Medicare in California for one minute
one fourth the trash generated in the US by the number of employees at Yelp in the time taken for a blink	1/4th of the weight of garbage produced in the United States by the entire staff of Yelp in the time it takes to play a game of soccer	1/4th the amount of trash produced in the US by all Yelp employees during a soccer game	1/4 the amount of trash generated in the US by employees at Yelp during the time taken for a soccer game	1/4th the trash generated by employees at Yelp during a soccer game	a quarter of the trash generated in the US by the number of employees at Yelp in the time taken for a soccer game	1/4 the trash generated in the US by the number of employees at Yelp in the time taken for a soccer game
1/60th of the cost of employing the number of employees on Medicare in the time taken for a day	1/60 the cost of an employee on Medicare during the time taken for a soccer game	1/60th of the cost of employing the number of workers who receive Medicare benefits for the time it takes to play a game of soccer	1/60th the cost of all employees on Medicare during the time taken for a soccer game	1/60th the cost of an employee for the duration of a soccer game times the number of employees on Medicare	a 60th of the cost of the the employees on Medicare in the time of a soccer game	1/60th of the cost of employees on Medicare in during the time taken for a soccer game
10 times the water water is people killed during the Iraq war each minute	10 times the water usage in one minute for 500 million people in the US	the water usage of the casulties of the Iraq War for six minutes	10 times the American water usage each minute, per the number of people killed during the Iraq War	ten times the amount of water usage in the US by the number of people killed during Iraq war in a minute	10 times the amount of water used by people killed during the Iraq war in a minute	Ten times the amount of water used in the US by the people killed during the Iraq War in a minute
one fifth of the distance covered at walking speed over a persons lifetime	1/5 the distance a person would travel moving at walking speed for the duration of an average canine's lifetime	1/5 the distance you could walk in a dog's lifetime	1/5 the distance you could walk during your dog's lifetime	1/5 times the walking MPH during a dogs life	1/5th the distance you would travel if you went at walking speed for the entire lifetime of a dog	1/5 the walking speed during a dog's lifespan	1/5th the walking speed times the average lifetime for a dog
twenty times the number of people who die in the US during a blink	20 times the number of people that die in the US during a soccer game	20 times the amount of people who die in 90 minutes	20 times the number of people who die in the United States in the time it takes to play a game of soccer	twenty times the amount of people that die in the US during a soccer game	20 times the number of deaths occurring in the US during any given soccer game	twenty times the death rate in the US in the time taken for a soccer game
10 times the number of people who die in the time it takes to have lunch	10 times the number of babies born around the world during a lunch break	10 times the numbner of people born around the world inthe time it takes to eat lunch	10 times the number of people born worldwide in the amount of time it takes to have lunch	10 times the number of people born every day during lunch	10 times the amount of people born in a half hour	10 times the number of people born globally during lunch
1/7th of the number of dogs in a minute	one seventh the dogs put into shelters per minute	1/7 the number of dogs in shelters in a minute	1/7th the number of dogs put into shelters in one minute	1/7th of the number of dogs in shelters per minute	1/7th the number of dogs put in shelters each minute	1/7th of the amount of dogs in shelters in one minute
1/50th of the amount of water that would be bought the people in poverty in one hour	1/50th the amount of water used in one hour in the US by all of the people in poverty	one fiftieth the water usage by people in poverty in the US during one hour	1/50th of the water used in an hour by everyone living at poverty level	1/50 the amount of water used in an hour by people in poverty	1/50 times the water used in an hour by the poor	1/50th of an hour of water usage in the US for the entire number of people in poverty	1/50th the volume of water consumed in one hour for people in poverty
1/60th the amount of water that would be owned by the people killed in the United States	the amount of water used per second by the number of people killed during 9/11	1/60th the volume of water consumed in the US in a minute per 3 thousand people	1/60th of the water the number of people killed on 9/11 use per minute	1/60 the amount of water usage in the US per minute by the number of people killed during the September 11th attack	one sixtieth the water usage in the US by the number of a people killed during the 9/11 attack a minute,	1/60th of the water usage in the US by the amount of people killed during the September 11th attack in a minute	1/60th the water that people killed in 9/11 would have used in a minute
1/70 the amount of water day in the US by the number of employees in the education industry in a day	1/70th the water usage in the US by the number of employees in the education industry for a day	1/70th the total amount of water used in the US in one day by everyone working in the education industry	1/70 of the water used by the US education industry each day	1/70th of the amount of water used in the United States by the entire workforce of the education industry in one day	1/70th the water usage in the US a day, by the number of employees in the education industry	1/70 the amount of water usage in the US by employees in the education industry a day
one third of the population of a car	1/3rd the population of the US	1/3rd the population of the United States	one third of the total population of the US	one third the population of the United States	1/3 of the United States population	1/3 the population of the United States	1/3 of the population of The United States	1/3 the amount of people in the US
one twentieth the cost of the number of employees in the oil industry in the time taken for a game of work	1/20th of the cost of paying wages for the span of a soccer game for every oil industry employee	1/20 the cost of employees making up the entire oil industry workforce during an entire soccer game	1/20 the cost to employ everyone in the oil industry for the length of a soccer game	1/20th of the cost of employing every person employed by the oil industry for the time it takes to play a game of soccer	1/20th the cost of an employee for 90 minutes in the oil industry	1/20th the cost of an employee for the duration of a soccer game times the number of employees in the oil industry
twice the cost of employing the staff of Yelp in one minute	twice what it costs to employ the staff at Yelp for one minute	two times the cost of employing the entire staff of Yelp for one minute	2 times the employee cost per minute by all the Yelp employees combined	twice the cost of an employee for a minute times the number of employees at Yelp	twice the cost of all the number of employees at Yelp in a minute	twice the cost to employ the number of employees at Yelp for a min
4 times the cost of employing the staff of the manufacturing industry for the time it takes to blink	4 times the amount of money earned by manufacturing industry employees in the time it takes to blink	4 times the amount of money wasted on paying the employees in the manufacturing industry while they blink	4 times the average cost of an employee during the time taken to blink for employees in the manufacturing industry	4 times the cost of wages for all manufacturing workers for a time period equal to an eye blink	4 times the cost of paying the employees of the manufacturing industry during 100 milliseconds	four times the cost of all employees in the manufacturing industry in the time it takes to blink	four times the cost of the number of employees in the manufacturing industry in the time taken to blink
4 times the cost of employing the staff of Yelp for the lifespan of a person	4 times the cost of employing the entire staff of Yelp over the lifespan of an average dog	4 times cost to employ the number of employees at Yelp for the average lifetime of a dog	4 times the cost of the employees at Yelp during the average lifetime of a dog	four times the cost of the employees at Yelp for the average lifetime of a dog	4 times the cost to employ the amount of Yelp employees during a dogs average lifetime	4 times the cost to employ all those at Yelp over a dog's life
40 times the weight of the people killed during the size of an average person	40 times the weight of all the people killed in the September 11th attack	40 times the total weight of the people killed during the September 11th attack	40 times the weight of all people killed during September 11th put together	forty times the weight of the number of people killed during the September 11th attack	forty times the weight of the number of people killed during the 9/11 attack	40 times the weight of everyone that was killed on 9/11
40 times the amount of coffee consumed by the population of Stanford in the time taken for a tree	40 times the coffee consumed by the population of Stanford during a soccer game	40 times the coffee consumption of people in Stanford during the time taken for a soccer game	40 times the amount of coffee consumed by the population of Stanford in the time it takes to play a game of soccer	40 times the coffee consumed by the population of Stanford during a soccer game	forty times the amount of coffee consumption by the population of Stanford in the time taken for a soccer game	forty times the coffee consumption of the population of Stanford in the time taken for a soccer game
one tenth the coffee consumption of the number of employees in the economy in the time taken for a work day	1/10 the amount of coffee consumed by employees in the economy over the time taken for a work day	one tenth the total amount of coffee consumed by employees during the work day	1/10 the coffee consumed by the economy's employees in one work day	1/10 the amount of coffee consumed by all the current workers in the economy over the course of a work day	1/10 the coffee drank in a work day by all the people currently employed in the US	1/10th the amount of coffee consumed by employees in the economy during a workday	1/10 the amount of coffee consumed during an 8-hour work day by all employees in the economy	ten percent of the coffee consumed during a work day by all employees in the economy	1/10 the coffee consumed by economy employees during a work day
4 times the water usage of the employees of a grocery store in the time it takes to blink	4 times the water usage every blink of an eye for the average number of employees in a grocery store	four times the water usage in the US over the time taken to blink by the average number of employees in a grocery store	4 times the volume of water used in the US in the blink of an eye among the number of employees in a grocery store	4 times the water used by a grocery store's employees in the time it takes to blink	four times the amount of water used by the average number of employees in a grocery store in the time it takes to blink	4 times the amount of water used in the US by the employees of a grocery store in the time it takes to blink
one eighth the coffee consumption of the number of employees in the mining industry in the average lifetime of a person	1/8 the coffee consumed by everyone who works in mining over the lifetime of a dog	1/8th the amount of coffee consumed by all the employees in the mining industry during the average lifetime of a dog	1/8th of the amount of coffee consumed by the entire mining industry workforce over the lifespan of an average dog	1/8 the coffee consumption by the number of employees in the mining industry over the average lifetime of a dog	one eighth the coffee consumption by the employees in the mining industry during a dog lifetime	1/8 the amount of coffee consumption by the employees in the mining industry during the average lifetime for a dog	1/8th the amount of coffee consumed by the employees in the mining industry over the lifetime of a dog
the cost of employing the population of United States for one lunchbreak	the employee costs of the entire population of the United States during a lunch break	the cost of the employees of the US during lunch	the cost of paying an employee's wages for everyone in the US for the span of a lunchbreak	the salaries of the population of the United States during lunch	the cost of the number of employees equal to the population of the United States over the time taken for lunch	the cost of paying an employee during a 30 minute lunch
one fourth the trash generated in the US by the number of employees in the economy in the time taken to blink	1/4 times the US trash produced in a blink by all of the employees combined	1/4th the weight of trash generated in the US by the amount of employees in the economy during the time it takes to blink	1/4th the trash generated in the US in the time taken to blink times the number of employees in the economy	one quarter the weight of garbage produced in the United States by the total number of workers in the economy in the time it takes to blink	1/4th the total amount of trash generated in the US by everyone working in the economy in the time it takes to blink	1/4th the amount of trash generated in the US during a blink of an eye for the employees in the economy
one half the trash generated in the US by the number of employees at Yelp in the time taken for a work day	half the trash generated by Yelp employees in one workday	half the amount of trash generated by Yelp employees in a work day	Half the trash created by YELP employees during a work day	1/2 of the weight of garbage produced in the United States by the entire staff of Yelp in a single work day	half the amount of trash generated by all th employees at Yelp within a work day	half of the trash generated in the US by the number of employees at Yelp in the time taken for a work day
one eightieth the cost of an employee during a football game for the population of United States	1/80 the cost of employees in the United States during a football game	1/80 of the combined amount that every person in the United States would earn as an employee during the time it takes to play a football game	1/80th the cost of employing the population of the US for the duration of a football game	1/80th of the cost of employing the population of the United States for the length of a football game	one eightieth of the cost of employees numbering the population of the United States in the time taken for a football game	1/80th the amount it would cost to employ everyone in the US for the duration of a football game	one eightieth the cost of the population of the US as employees during a football game
1/7 the coffee consumption of the population of United States in one day	1/7 the amount of coffee consumed by the United States in a day	1/7 times the coffee consumed per day by all the US combined	one seventh the amount of coffee drunk by the entire US population in one day	1/7th the amount of coffee consumed by the people of the United States in one day	1/7th the amount of coffee consumed in one day by the US population	1/7 the coffee consumed by everyone in the US ofor a day	1/7 of the coffee that the US population drinks in a day
the amount of trash generated in the US by the number of employees in the manufacturing industry in the time taken for a basketball game	the same as the number of manufacturing employees in a basketball game	the amount of trash generated by all of the employees in the manufacturing industry during a basketball game	1 times the US trash produced during a basketball game by all the manufacturing industry employees combined	the trash generated in the US for the number of employees in the manufacturing industry during the time taken for a basketball game	the amount of trash generated in the US in the same amount of time as a basketball game by employees in the manufacturing industry	the weight of trash produced by all workers in the manufacturing industry in the time it takes to play a regulation basketball game
one eighth the cost of the number of employees in the manufacturing industry in the time taken for a work day	1/8th of the cost of employing every worker in the manufacturing industry for a single work day	1/8th the cost of all the employees in the manufacturing industry over the course of the time taken for a work day	1/8th the cost of an employee for the time taken for a work day times the number of employees in the manufacturing industry	one eighth of the cost of the number of employees in the manufacturing industry in the time taken for a work day	1/8 the cost to employ everyone in manufacturing in one work day	1/8 the cost of an employee for every employee in the manufacturing industry during a work day
one eightieth the water usage of the population of Asia in the time taken for a blink	one eightieth the water usage in the US by a population the size of Asia's during the time of a soccer game	1/80th of the water used by everyone in Asia during the span of a soccer game	1/80th the amount of water used in the US during a soccer game times the population of Asia	1/80 of the water used by the people of Asia during one soccer game	1/80 the water used in Asia during a soccer game	one eightieth the amount of water usage in the US by the population of Asia in the time taken for a soccer game	the amount of water that the entire population of Asia would use if they used water at the same rate as people in the US
1/20th of the coffee consumption of the population of Stanford in the average lifetime of a person	1/20th the coffee consumption of the population of Stanford over the lifetime of a dog	one-twentieth the the amount of coffee consumed by Stanford's population in a dog's lifetime	a twentieth of the coffee consumed per year per person over the average lifetime of a dog of the population of Stanford	1/20th of the amount of people in Stanford who consume coffee throughout the average lifetime of a dog	1/20th the amount of coffee consumed by everyone at Stanford over the lifespan of the average dog	1/20 the amount of coffee consumption by the population of Stanford during the lifetime for a dog	1/20th the amount of coffee the population of Stanford drinks in the average lifetime of a dog
1/20th of the weight of garbage produced in the United States by the population of United States in one single work day	1/20th of the trash generated by people in the US during a work day	1/20 the amount of trash generated in a work day by the population of the United States	1/20 the trash generated in the US by the population of United States for a work day	1/20th the amount of trash generated by the population of the United States in a work day	one twentieth the trash generated by the US during a work day	1/20th of the weight of garbage produced in the United States by the population of the United States in a single work day
4 times the weight of the people killed during the size of an average person	four times the weight of everyone killed during the 9/11 attacks put together	four times the total weight of the people who were killed during the September 11th attack	four times the weight of the people who died during the September 11th attacks	4 times the total weight of people killed during the September 11th attack	four times the weight of everyone killed during 9/11	four times the weight of all the people killed during the September 11th attack
one half the number of dogs in the United States as it takes to graduate college	half the number of dogs that end up in the shelter in the time it takes someone to finish college	one half the number of dogs in shelters over the time taken to graduate college	One half the number of dog shelters over the time it takes to graduate college	half the number of dogs entering shelters in the time it takes to graduate college	one half the amount of dogs in shelters during the time it takes to graduate college	1/2 the number of dogs in shelters during the time taken to graduate college
1/100 the water retail employees in the US by the number of employees in the retail industry in the time taken for lunch	one hundredth of the water usage in the US during the time taken for lunch by the number of employees in the retail industry	1/100th the amount of water used in the United States by every worker employed in retail put together in the time it takes to have lunch	1/100th of the water usage of employees in the retail industry during the time taken for lunch	1/100 the water used in the retail industry in a lunch period	one one hundredth the amount of water usage in the US by the number of employees in the retail industry in the time taken for lunch	1/100 the amount of water used during time taken for a lunch break by all the employees in the retail industry
twenty times the water number of employees in a grocery store in the time it takes to have lunch	20 times the amount of water used by all employees in a single grocery store during a lunch period	20 times the US water used during lunch by all a grocery store staff	20 times the water used by all employees in a grocery store during lunch	20 times the water used by the staff of an average grocery store in the time it takes to eat lunch	twenty times the water usage in the U.S. During the time taken for lunch by the average number of employees in a grocery store	20 times the amount of water used by employees in a grocery store during lunch
the cost of employing the same number of people as there were people killed during the length of a football game	the cost to employ the amount of people killed during the September 11th attack for the length of a football game	the to employ the number of people killed on 9/11 for the duration of a football game	the cost of all employees killed in the September 11th attack during a football game	what it would cost to employ the same number of people as were killed during the September 11th attacks for the same amount of time as it takes to play a football game	20 times the cost to employ the amount of people killed during the September 11th attack during a football game.	the cost of employing the number of people killed during 9/11 for the length of a football game
one fortieth the water usage in the US by the population of California in the time taken for a work day	1/40th the water usage of the population of California during the work day	one fortieth the water usage in the US by the population of California over the time taken for a work day	one fortieth the water usage by the population of California during a work day	1/40th of the water used by all Californians over a period equal to one work day	the volume of water used by 1/40th of the population of California in the time taken for one work day	1/40 the water used by Californians in a workday
40 times the number of guns level in the average lifetime of a person	forty times the sea level rise of the average person's lifetime	40 times the increase in sea level over the lifetime of an average person	40 times the amount that sea levels rise over the lifetime of the average person	forty times the sea level rise during the average lifetime for a person	forty times the amount the sea level rises in a person's lifetime	40 times the sea level rise over the average lifetime for a person	40 times the rise in sea level during a lifetime	40 times the sea level rise during the average lifetime of a person	40 times the typical rise in sea level in the span of an average person's lifetime	40 times the amount sea level rises in a person's lifetime	the sea level rise during forty person lifetimes	40 times the increase in sea level over the lifetime of an average person
10 times the amount of coffee consumed by the population of New of the time taken for a basketball game	10 times the amount of coffee the population of New York can consume during a basketball game	the coffee consumption of the population of New York during ten basketball games	10 times the coffee consumed by all New Yorkers in the span of a regulation basketball game	the coffee consumed by New York during ten basketball games	ten times the amount of coffee the population of New York can drink during a basketball game	1 million L is 10 times the coffee consumption by the population of New York during the time taken for a basketball game
1/6th of the median income in the average lifetime of a person	1/6th the median income in 12 years	1/6 the income a perosn gets over the lifetime of a dog	one sixth of the median income earned over the lifespan of an average dog	a sixth of the income that a person would earn in the span of a dog's lifetime	one sixth of the median income of the average lifetime for a dog	1/6th the median income over the average lifetime for a dog
the amount of trash generated in the US by the population of San Francisco in the time taken for a tree	the amount of trash generated in the US during the time taken for a soccer game by the population of San Francisco	the trash generated in the US over the time taken for a soccer game by the number of people in San Francisco	the trash generated in the US by a population the size of San Francisco's in the time taken for a soccer game	the amount of trash generated in the US in the time of a soccer game by the population of San Francisco	1 times the amount of trash generated in the US by the population of San Francisco during the time taken for a soccer game	the weight of garbage produced in the United States by the population of San Francisco in the time it takes to play a game of soccer
the amount of trash generated in the US by the number of employees in the mining industry in the time taken for a blink	the amount of trash generated in the US by mining industry employees during a soccer game	1 unit of all trash generated in the US during a soccer game by the employees in the mining industry	the amount of trash produced in the United States by the entire mining industry workforce in the time it takes to play a game of soccer	the amount of trash generated in the US over the time taken for a soccer game by the number of employees in the mining industry	the trash generated in the US by the number of employees in the mining industry for the length of a soccer game	the trash generated in the US per day per person by every employees in the mining industry in the duration of a soccer game
8 times the water Google employees in a week	8 times the volume of water used in the US in one week at Google	8 times the amount of water used by all Google employees in a week	the water usage of Google employees during eight weeks	8 times the water usage per week of all the employees at Google	8 times the amount of water used in the United States by the staff of Google in one week	eight times the weekly water usage in the US by the employees at Google	8 times the water used in a week by employees at Google
1/3 the trash generated in the US by the population of lunch break	1/3rd the amount of trash generated by the population of New York in the time it takes tot take lunch	one third of the weight of garbage produced in the United States by the population of New York in the time it takes to have lunch	1/3 the amount of trash generated in the US by the population of New York during lunch breaks	one third the trash generated by New York during lunch	1/3 the trash generated by the population of New York during lunch time	one third the trash generated in the US during the time taken for lunch by the population of New York	1/3 of the amount of trash generated by all New Yorkers during a half hour lunch
twenty times the weight of an US hourly by an American	20 times the number of people born in one hour	20 times the hourly birth rate in the US	20 times the number of American babies born each hour	20 times the number of people born in the US in an hour	twenty hours worth of births in the US	20 time the US birth rate in one hour	twenty time the amount of babies born in the US in an hour	how many people are born in the United States every 20 hours
one seventh the cost of the number of employees at Google in the time taken for a game of  the number of employees at Google	one-seventh of the salary accrued to Google's employees during a soccer match	1/7 the cost of an employee for all the employees at Google combined during a soccer game	one seventh the cost every employee at Google to watch a soccer game	a seventh of what it would cost to pay the salary of all of Google's employees, combined, for a period of time equal to the length of a soccer game	1/7th the cost for all the employees at google in the time taken for a soccer game	a seventh the cost for the entire group of employees at Google during a soccer game
the cost of employing the number of employees in the manufacturing industry for the length of a time equivalent to a day	the cost to employee the manufacturing industry during a soccer game	the cost of an employee for the total number of employees in the manufacturing industry in the time it takes to watch a soccer game	the amount of the cost of all employees in the manufacturing industry during a soccer game	The cost of employing the number of employees in the manufacturing industry in the time taken for a soccer game	cost of paying salary for the manufacturing industry employees during a soccer game	the cost of an employee during 90 minutes in the manufacturing industry
the number of employees in the same amount of time as a football game	the amount of the sea level rise during a football game	what the sea level rises in the time taken for a football game	the amount that sea levels rise over the course of a football game	the amount sea level rises during one football game	the increase in sea level during a football game	the amount of sea level rise during the time taken to watch a football game	the increase in sea level occurring in the span of a football game	the increase in sea level during a football game	the sea level rise during the time taken for a football game	the amount of sea level rise in the time taken for a football game	the level of sea level rise during a football game	how much the sea level rises over the course of a football game	the amount sea level rises during a football game
one half the cost of the number of employees in the manufacturing industry in a day	half the daily cost of all employees in the manufacturing industry	half of the cost to employ everyone in the manufacturing industry for one day	half the cost of employing everyone in the manufacturing industry for a day	half the cost of employing the number of employees in the manufacturing industry for a day	half of the employee costs of the entire manufacturing industry in a day	1/2 of the cost of a day's wages for all manufacturing workers
1/100 the trash generated in the US by the number of employees in the financial industry in the time taken for a blink	1/100th the amount of trash produced by all finance industry workers in the time it takes to play a game of soccer	1/100th the amount of trash generated in the US by employees in the financial industry during a soccer game	one hundreth the trash generated by financial industry employees during a soccer game	1/100 the amount of trash generated in the US by employees in the financial industry during the time taken for a soccer game	1/100 the trash produced by all employees in the financial industry during a soccer game	1/100th the total amount of trash generated by all workers in the financial industry during a soccer game
1/7th the global death rate over the average lifetime of a person	1/7 the number of peopel who die around the world in the lifetime of a dog	1/7 the number of people globally who die within the average dog's life span	one-seventh of the amount of people that will die in the entire world during the average lifetime of a dog	a seventh of the global death rate during the average lifetime of a dog	1/7th the number of people that die during the average lifespan of a dog	one-seventh the global death rate over the lifetime of a dog	1/7 the number of people who die during the average lifetime for a dog	1/7 the global death rate during the average lifetime of a dog
one day	the sea level rise that occurs in one day	the sea level rise in a day	the amount the sea level rises in a day	the height of sea level rise 1 day	the rise of sea level each day	the same as the sea level rise during a day	the amount of daily increase in the sea level	the rate of sea level rise per day	the level the sea rises a day	The amount of sea level rise in a day	how much sea levels rise in a day	the amount of sea level rise in one day
1/8 of the weight of a day's day per person	1/8 times the rise in sea level per day	1/8 the sea level rise a day	1/8 the daily rise in sea level	1/8th of the rise in sea level a day	1/8th the length of sea level rise in one day	1/8th of the rise in sea level in one day	an eighth of the sea level rise in a day	1/8th the amount that sea levels rise in a day	1/8 times the rise in sea level per day	1/8th the amount the sea level rises in one day	one eighth the daily sea level rise	an eighth of the increase in sea level occurring in the span of one day
one half the trash generated in the US by the population of Stanford in the time taken for a tree	1/2 the mount of trash generated by the population of Stanford over the time taken for a soccer game in the US	1/2 times the US trash produced during a soccer game by all of Stanford combined	1/2 the amount of trash generated in the US by the population of Stanford during the time taken for a soccer game	half of the amount of trash that the combined population of Stanford makes during the course of a normal soccer game	one half the weight of garbage produced in the United States by the population of Stanford in the time it takes to play a game of soccer	half the trash generated in the US during a soccer game for the population of Stanford
1/7th the number of dogs in the US	1/7 the number of dogs that go into the shelter	a seventh of the number of dogs in shelters	1/7th of the amount of dogs in shelters	one seventh the number of dogs in shelters	1/7th the number of dogs in shelters	1/7th the number of dogs in shelters
twenty times the water water is people in Texas in a minute	the amount of water usage in the US by every person in Texas every twenty minutes	the water usage of Texas over twenty minutes	20 times the water used by Texans ina minute	twenty times the water usage in the US a minute by a population the size of Texas'	20 times the total amount of water used by the people of Texas in one minute	the amount of water used in the US in 20 minutes by the population of Texas
3 times the number of cars in the Indy	3 times the number of cars in the Indy 500	three times the number of cars in the Indy 500	3 times the number of cars in the Indy 500	three times the number of cars in the Indy 500	3 times the number of cars in the Indy 500	triple the amount of cars racing in the Indy 500
10 times the weight of garbage produced in the United States by the staff of Yelp in the time it takes to play a football game	10 times the amount of trash generated by Yelp employees over the duration of a football game	10 times the weight of garbage produced in the United States by the entire staff of Yelp during a football game	10 times the trash generated in the US by the number of employees at Yelp in the time taken for a football game	10 times the US trash generated during a football game by all the Yelp employees combined	10 times the amount of trash generated in the US in 190 minutes by Yelp	ten times the trash generated in the US by the number of people at Yelp during the time taken for a football game
50 times the cost of employing the number of people killed during the length of one work day	50 times the employee cost of an entire work day by the Sept. 11th victims	50 times the cost to employ the amount of people killed during the September 11th attack for a work day	50 times the cost to employ the numbner of people killed on 9/11 for one workday	fifty times the cost of employing the number of people killed during the September 11th attack for a work day	50 times the cost to employ the numbner of people killed on 9/11 for one workday	50 times the cost of people killed during the September 11th attack	50 times the amount of money earned by the people killed on September 11th during a work day
twice the global birth during a football game	twice the amount of children born during the time taken for a football game	2 times the number of people born around the world in the time it takes to play a football game	the number of people born in the world during half a football game	double the number of people born globally over the duration of a football game	two times the Earth's birth rate during a football game	twice the number of births worldwide over the span of a football game	twice the global birth rate in the time span of a football game
one ninth the cost of employees numbering the people killed during the time it takes to graduate college	1/9th the cost of an employee for the time taken to graduate college times the number of people killed during the September 11th attack	1/9 the cost to employ everyone killed on 9/11 in the time it takes to graduate college	a ninth of the cost of a group of employees the size of the people killed during the September 11th attack in the time it takes to graduate college	1/9 of what it costs to employ the number of people killed during the September 11th attack in the amount of time it takes to graduate college	one ninth the cost of employees equal to the people killed during the 9/11 attack in the time taken to graduate college	1/9th the cost to employ everyone killed on 9/11 for the time it takes to graduate college
one tenth the trash generated in the US by the number of employees at Yelp in the time taken for lunch	1/10th of the weight of garbage produced in the United States by the entire staff of Yelp in the time it takes to have lunch	1/10 the amount of trash generated in the US by the number of employees at Yelp in the time taken for lunch	1/10 times the US trash produced during lunch by all the Yelp employees combined	1/10 the trash generated in the US during lunch by the number of employees at Yelp	one tenth the trash generated in the US by the number of employees at Yelp in the time taken for lunch	1/10th the amount of trash generated in the US during a lunch break at Yelp
one fifth of the water industry water industry every minute	1/5th the amount of water used each minute by all workers in the education sector	1/5 the water used by education employees for one minute	one fifth the water usage in the US in one minute by the number of employees in the education industry	1/50th the water usage in the US for a minute times the number of employees in the education industry	a fifth of the water usage by the people in the employees industry	1/5 the water usage in the US by the number of employees in the education industry for a min
the cost of employing the staff of Google for one hour	the cost Google employees during a soccer game	the cost of employing everyone at Google for the duration of a soccer game	the cost of all the employees at Google for the length of a soccer game	the amount it costs to employ everyone at Google for the duration of a soccer game	the cost of all employees at Google during a soccer game	the cost of an employee for every employees at Google in the time if takes for a soccer game
the global hourly global global work rate	hourly global birth rate	1/1 the number of babies born across the globe in an hour	the number of people born throughout the world in one hour	The global birth rate in an hour	the hourly global birth rate	the number of people born around the world in an hour
the cost of a new car times the number of cars in the Indy industry	the average cost of a new car from the cars in the Indy 500	the price of a new cars equal in number to the amount of cars racing in the Indy 500	the cost, in new cars, for the number of cars in the Indy 500	the cost of all the cars in the Indy 500	the cost of all the cars in the Indy 500	the cost of the new cars produced for the Indy 500
80 times the amount of coffee consumed by the entire workforce of the economy in one work day	80 times the amount of coffee consumed by the total number of workers in the economy in a single work day	80 times the coffee consumed by the economy's employees in a work day	the coffee consumption of employees in the economy for eighty work days	80 times the amount of coffee consumption by the number of employees in the economy in the time taken for a work day	80 times the coffee consumption by the number of employees in the economy over a workday	eighty times the coffee consumed per person during the time taken for a work day for the number of employees in the economy
twice the water Medicare employees in the time it takes to play a basketball game	2 times the amount of water used by the total number of employees on Medicare during a basketball game	2 times the water used by all the employees of Medicare in the time taken for a basketball game	two times the water used during a basketball game by all the employees on Medicare	twice the amount of water that every employee on Medicare uses, combined, during the length of a normal basketball game	twice the amount of water used by all of the employees on Medicare combined during a basketball game	twice the amount of water consumed by all employees on Medicare during a basketball game
twenty times the water usage of a household in the lifetime of a tree	20 times the amount of water used by the average household over a tree's average lifetime	20 times the water usage in the US by an average household over the lifetime of a tree	twenty times the water usage in the US by the average household over the course of a tree's average lifespan	Twenty times the amount of water used by an average househole over the liftetime of a tree	20 times the total amount of water that would be used in the US by a household of average size over the lifetime of a tree	20 times the water usage in the US of an average household size during the average lifetime of a tree	20 times the amount of water used in the US by a household in the average life span of a tree
